id,pubId,Equation,reactionEnergy,surfaceComposition,ads_1,ads_2,ads_3,sites_1,sites_2,sites_3,MetalA,RatioA,MetalB,RatioB
391234.0,MamunHighT2019,CH3OH(g) + 6* -> C* + 4H* + O*,2.9414335867118098,Au3Rh,C,H,O,hollow,hollow,hollow,Au,3,Rh,1
362182.0,MamunHighT2019,CH4(g) + 5* -> C* + 4H*,-1.2868526021510434,Rh3Hf,C,H,0,hollow,hollow,0,Rh,3,Hf,1
373435.0,MamunHighT2019,CH3CH2SH(g) + 9* -> 2C* + 6H* + S*,-4.780732928735574,AgRe,C,H,S,bridge,bridge,hollow,Ag,1,Re,1
363093.0,MamunHighT2019,CS2(g) + 3* -> C* + 2S*,-4.467046490263897,Ir3Cr,C,S,0,hollow,hollow,0,Ir,3,Cr,1
369396.0,MamunHighT2019,CH3CHO(g) + 7* -> 2C* + 4H* + O*,-3.1955275025771925,NiW,C,H,O,hollow,hollow,hollow,Ni,1,W,1
369728.0,MamunHighT2019,NO(g) + 2* -> N* + O*,-8.193088221407379,TaV,N,O,0,hollow,hollow,0,Ta,1,V,1
369919.0,MamunHighT2019,H2SO4(g) + 7* -> 2H* + 4O* + S*,-16.525466482662523,FeLa,H,O,S,hollow-tilt,4fold,bridge,Fe,1,La,1
393992.0,MamunHighT2019,CS2(g) + 3* -> C* + 2S*,-3.662002732567202,Cd3Cr,C,S,0,hollow-tilt,hollow-tilt,0,Cd,3,Cr,1
387180.0,MamunHighT2019,H2O2(g) + 4* -> 2H* + 2O*,-5.60993644945961,Ir3Y,H,O,0,bridge,hollow,0,Ir,3,Y,1
367667.0,MamunHighT2019,CH3CH2SH(g) + 9* -> 2C* + 6H* + S*,-0.0317194939965475,AgCo,C,H,S,bridge,bridge,bridge,Ag,1,Co,1
365844.0,MamunHighT2019,CO(g) + 2* -> C* + O*,0.0739122411254129,AlRh,C,O,0,4fold,bridge,0,Al,1,Rh,1
369787.0,MamunHighT2019,CH3CH2OH(g) + 9* -> 2C* + 6H* + O*,6.0271660131053295,AuPd,C,H,O,hollow,hollow,hollow,Au,1,Pd,1
397967.0,MamunHighT2019,H2O(g) + 3* -> 2H* + O*,-0.5854193178803371,Tl3Sc,H,O,0,hollow-tilt,hollow-tilt,0,Tl,3,Sc,1
396334.0,MamunHighT2019,CH2CH2(g) + 6* -> 2C* + 4H*,6.1042268832985656,Ga3Mn,C,H,0,hollow,top,0,Ga,3,Mn,1
384819.0,MamunHighT2019,N2O(g) + 3* -> 2N* + O*,-8.173632762210445,Mo3La,N,O,0,hollow,hollow,0,Mo,3,La,1
411984.0,MamunHighT2019,NH2(g) + 3* -> 2H* + N*,-7.204332383883696,Zr3Mo,H,N,0,hollow,hollow,0,Zr,3,Mo,1
